Alloy,Al,Co,Cr,Cu,Fe,Ni,V,Mo,Zr,Mn,Sn,Ti,W,Ta,Nb,Hf
CoCrFeNiV,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoCrFeNiVAl0.5,9.091,18.182,18.182,0.0,18.182,18.182,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MoWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0,0.0,33.333,0.0,0.0,0.0
MoTiTa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,33.333,0.0,33.333,0.0,0.0
WTaZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,33.333,33.333,0.0,0.0
TiTaZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,33.333,0.0,33.333,0.0,0.0
MoTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0,33.333,0.0,0.0,0.0,0.0
MoWTa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0
MoWTi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,33.333,33.333,0.0,0.0,0.0
WTiTa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,33.333,0.0,0.0
WTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,33.333,33.333,0.0,0.0,0.0
MoTaZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0,0.0,0.0,33.333,0.0,0.0
MoWTaZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0
MoWTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0
MoWTiTa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
MoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0
WTiTaZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
MoTaTiWZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0
Al0.25MoNbTiV,5.882,0.0,0.0,0.0,0.0,0.0,23.529,23.529,0.0,0.0,0.0,23.529,0.0,0.0,23.529,0.0
Al0.25NbTaTiV,5.882,0.0,0.0,0.0,0.0,0.0,23.529,0.0,0.0,0.0,0.0,23.529,0.0,23.529,23.529,0.0
Al0.2MoTaTiV,4.762,0.0,0.0,0.0,0.0,0.0,23.81,23.81,0.0,0.0,0.0,23.81,0.0,23.81,0.0,0.0
Al0.3HfNbTaTiZr,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.868,0.0,0.0,18.868,0.0,18.868,18.868,18.868
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,26.0,0.0,0.0,28.0,0.0,16.0,20.0,0.0
Al0.4Hf0.6NbTaTiZr,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0,12.0
Al0.5CrNbTi2V0.5,10.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,20.0,0.0
Al0.5HfNbTaTiZr,9.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.182,0.0,0.0,18.182,0.0,18.182,18.182,18.182
Al0.5MoNbTiV,11.111,0.0,0.0,0.0,0.0,0.0,22.222,22.222,0.0,0.0,0.0,22.222,0.0,0.0,22.222,0.0
Al0.5NbTa0.8Ti1.5V0.2Zr,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0,0.0,0.0,30.0,0.0,16.0,20.0,0.0
Al0.5NbTaTiV,11.111,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,22.222,0.0,22.222,22.222,0.0
Al0.6MoTaTiV,13.043,0.0,0.0,0.0,0.0,0.0,21.739,21.739,0.0,0.0,0.0,21.739,0.0,21.739,0.0,0.0
Al0.75HfNbTaTiZr,13.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391,0.0,0.0,17.391,0.0,17.391,17.391,17.391
Al0.75MoNbTiV,15.789,0.0,0.0,0.0,0.0,0.0,21.053,21.053,0.0,0.0,0.0,21.053,0.0,0.0,21.053,0.0
Al1.5MoNbTiV,27.273,0.0,0.0,0.0,0.0,0.0,18.182,18.182,0.0,0.0,0.0,18.182,0.0,0.0,18.182,0.0
AlCr0.5NbTiV,22.222,0.0,11.111,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,22.222,0.0,0.0,22.222,0.0
AlMoNbTiV,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0
AlMoTaTiV,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
AlNb1.5Ta0.5Ti1.5Zr0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,30.0,0.0,10.0,30.0,0.0
AlNbTaTiV,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0
AlNbTiV,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0
CoCrMoNbTi0.4,0.0,22.727,22.727,0.0,0.0,0.0,0.0,22.727,0.0,0.0,0.0,9.091,0.0,0.0,22.727,0.0
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.774,0.0,0.0,17.764,0.0,30.739,30.739,7.984
Hf0.5Mo0.5NbTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,0.0,25.0,0.0,0.0,25.0,12.5
Hf0.5Nb0.5Ta0.5Ti1.5Zr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,37.5,0.0,12.5,12.5,12.5
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,30.0,0.0,10.0,20.0,15.0
HfMo0.25NbTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.762,19.048,0.0,0.0,19.048,0.0,19.048,19.048,19.048
HfMo0.5NbTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.091,18.182,0.0,0.0,18.182,0.0,18.182,18.182,18.182
HfMo0.5NbTiV0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0
HfMoNbTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,16.667,0.0,0.0,16.667,0.0,16.667,16.667,16.667
HfMoNbTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0
HfMoTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0
HfNb0.18Ta0.18Ti1.27Zr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.548,0.0,0.0,34.986,0.0,4.959,4.959,27.548
HfNbTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0
HfNbTaZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
HfNbTiVZr,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0
HfNbTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0
HfTaTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0
Mo0.1NbTiV0.3Zr,0.0,0.0,0.0,0.0,0.0,0.0,8.824,2.941,29.412,0.0,0.0,29.412,0.0,0.0,29.412,0.0
Mo0.3NbTiV0.3Zr,0.0,0.0,0.0,0.0,0.0,0.0,8.333,8.333,27.778,0.0,0.0,27.778,0.0,0.0,27.778,0.0
Mo0.3NbTiVZr,0.0,0.0,0.0,0.0,0.0,0.0,23.256,6.977,23.256,0.0,0.0,23.256,0.0,0.0,23.256,0.0
Mo0.5NbTiV0.3Zr,0.0,0.0,0.0,0.0,0.0,0.0,7.895,13.158,26.316,0.0,0.0,26.316,0.0,0.0,26.316,0.0
Mo0.5NbTiVZr,0.0,0.0,0.0,0.0,0.0,0.0,22.222,11.111,22.222,0.0,0.0,22.222,0.0,0.0,22.222,0.0
Mo0.7NbTiV0.3Zr,0.0,0.0,0.0,0.0,0.0,0.0,7.5,17.5,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0
Mo0.7NbTiVZr,0.0,0.0,0.0,0.0,0.0,0.0,21.277,14.894,21.277,0.0,0.0,21.277,0.0,0.0,21.277,0.0
Mo1.3NbTiV0.3Zr,0.0,0.0,0.0,0.0,0.0,0.0,6.522,28.261,21.739,0.0,0.0,21.739,0.0,0.0,21.739,0.0
Mo1.3NbTiVZr,0.0,0.0,0.0,0.0,0.0,0.0,18.868,24.528,18.868,0.0,0.0,18.868,0.0,0.0,18.868,0.0
Mo1.5NbTiV0.3Zr,0.0,0.0,0.0,0.0,0.0,0.0,6.25,31.25,20.833,0.0,0.0,20.833,0.0,0.0,20.833,0.0
MoNbTaTi0.25W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.529,0.0,0.0,0.0,5.882,23.529,23.529,23.529,0.0
MoNbTaTi0.5W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,0.0,11.111,22.222,22.222,22.222,0.0
MoNbTaTi0.75W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.053,0.0,0.0,0.0,15.789,21.053,21.053,21.053,0.0
MoNbTaTiV,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0
MoNbTaTiVW,0.0,0.0,0.0,0.0,0.0,0.0,16.667,16.667,0.0,0.0,0.0,16.667,16.667,16.667,16.667,0.0
MoNbTaTiW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0
MoNbTaV,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0
MoNbTaVW,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0
MoNbTaW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0
MoNbTiV,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0
MoNbTiV0.25Zr,0.0,0.0,0.0,0.0,0.0,0.0,5.882,23.529,23.529,0.0,0.0,23.529,0.0,0.0,23.529,0.0
MoNbTiV0.3Zr,0.0,0.0,0.0,0.0,0.0,0.0,6.977,23.256,23.256,0.0,0.0,23.256,0.0,0.0,23.256,0.0
MoNbTiV0.5Zr,0.0,0.0,0.0,0.0,0.0,0.0,11.111,22.222,22.222,0.0,0.0,22.222,0.0,0.0,22.222,0.0
MoNbTiV0.75Zr,0.0,0.0,0.0,0.0,0.0,0.0,15.789,21.053,21.053,0.0,0.0,21.053,0.0,0.0,21.053,0.0
MoNbTiVZr,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0
MoNbTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0
MoTaTiV,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0
NbTaTiV,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0
NbTaTiVW,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0
NbTaVW,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0
NbTiV0.3Zr,0.0,0.0,0.0,0.0,0.0,0.0,9.091,0.0,30.303,0.0,0.0,30.303,0.0,0.0,30.303,0.0
